Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 15:20:22,2020-02-03 15:21:52,1m - 30.784s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 15:20:22,2020-02-03 15:20:53,30.857s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 15:20:24,2020-02-03 15:20:31,7.050s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 15:20:31,2020-02-03 15:20:40,8.935s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 15:20:40,2020-02-03 15:20:44,4.202s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 15:20:44,2020-02-03 15:20:45,0.732s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 15:20:45,2020-02-03 15:20:47,2.042s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 15:20:47,2020-02-03 15:20:47,0.553s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 15:20:47,2020-02-03 15:20:48,0.581s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 15:20:48,2020-02-03 15:20:53,5.004s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 15:20:53,2020-02-03 15:21:21,28.199s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 15:20:54,2020-02-03 15:20:56,1.653s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 15:20:56,2020-02-03 15:21:01,5.196s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 79.0.3945.130,,,2020-02-03 15:21:01,2020-02-03 15:21:02,1.537s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 79.0.3945.130,,,2020-02-03 15:21:02,2020-02-03 15:21:05,2.849s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 79.0.3945.130,,,2020-02-03 15:21:05,2020-02-03 15:21:06,0.734s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 79.0.3945.130,,,2020-02-03 15:21:06,2020-02-03 15:21:08,1.546s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), Expiration)",Chrome 79.0.3945.130,,,2020-02-03 15:21:08,2020-02-03 15:21:08,0.855s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 79.0.3945.130,,,2020-02-03 15:21:08,2020-02-03 15:21:09,0.625s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 79.0.3945.130,,,2020-02-03 15:21:09,2020-02-03 15:21:10,0.692s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Next""))",Chrome 79.0.3945.130,,,2020-02-03 15:21:10,2020-02-03 15:21:10,0.674s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Title_title""), Title)",Chrome 79.0.3945.130,,,2020-02-03 15:21:10,2020-02-03 15:21:14,3.764s,PASSED
"setText(findTestObject(""Object Repository/Create Offer/Page_Offers/textarea_Subtitle_subtitle""), Subtitle)",Chrome 79.0.3945.130,,,2020-02-03 15:21:14,2020-02-03 15:21:15,1.259s,PASSED
